Source,C:/Users/David/Dropbox/Personal/Keyboard/Kicad Project/keyboard.sch,,,
Kicad Rev,Eeschema 4.0.2-stable,,,
Generated Date,7/14/2016 19:20,,,
,,,,
Title,dhcabinian 68% RGB Backlit Bluetooth Keyboard,,,
Company,Not Set,,,
Revision,1,,,
Date Issue,Not Set,,,
,,,,
Reference,Value,Library,Library Ref,
C1,100n,device,C,
C10,10uf,device,C,
C104-1,.1uF,Keyboard,.1uF,
C104-10,.1uF,Keyboard,.1uF,
C104-100,.1uF,Keyboard,.1uF,
C104-101,.1uF,Keyboard,.1uF,
C104-102,.1uF,Keyboard,.1uF,
C104-103,.1uF,Keyboard,.1uF,
C104-11,.1uF,Keyboard,.1uF,
C104-12,.1uF,Keyboard,.1uF,
C104-13,.1uF,Keyboard,.1uF,
C104-14,.1uF,Keyboard,.1uF,
C104-15,.1uF,Keyboard,.1uF,
C104-16,.1uF,Keyboard,.1uF,
C104-17,.1uF,Keyboard,.1uF,
C104-18,.1uF,Keyboard,.1uF,
C104-19,.1uF,Keyboard,.1uF,
C104-2,.1uF,Keyboard,.1uF,
C104-20,.1uF,Keyboard,.1uF,
C104-21,.1uF,Keyboard,.1uF,
C104-22,.1uF,Keyboard,.1uF,
C104-23,.1uF,Keyboard,.1uF,
C104-24,.1uF,Keyboard,.1uF,
C104-25,.1uF,Keyboard,.1uF,
C104-26,.1uF,Keyboard,.1uF,
C104-27,.1uF,Keyboard,.1uF,
C104-28,.1uF,Keyboard,.1uF,
C104-29,.1uF,Keyboard,.1uF,
C104-3,.1uF,Keyboard,.1uF,
C104-30,.1uF,Keyboard,.1uF,
C104-31,.1uF,Keyboard,.1uF,
C104-32,.1uF,Keyboard,.1uF,
C104-33,.1uF,Keyboard,.1uF,
C104-34,.1uF,Keyboard,.1uF,
C104-35,.1uF,Keyboard,.1uF,
C104-36,.1uF,Keyboard,.1uF,
C104-37,.1uF,Keyboard,.1uF,
C104-38,.1uF,Keyboard,.1uF,
C104-39,.1uF,Keyboard,.1uF,
C104-4,.1uF,Keyboard,.1uF,
C104-40,.1uF,Keyboard,.1uF,
C104-41,.1uF,Keyboard,.1uF,
C104-42,.1uF,Keyboard,.1uF,
C104-43,.1uF,Keyboard,.1uF,
C104-44,.1uF,Keyboard,.1uF,
C104-45,.1uF,Keyboard,.1uF,
C104-46,.1uF,Keyboard,.1uF,
C104-47,.1uF,Keyboard,.1uF,
C104-48,.1uF,Keyboard,.1uF,
C104-49,.1uF,Keyboard,.1uF,
C104-5,.1uF,Keyboard,.1uF,
C104-50,.1uF,Keyboard,.1uF,
C104-51,.1uF,Keyboard,.1uF,
C104-52,.1uF,Keyboard,.1uF,
C104-53,.1uF,Keyboard,.1uF,
C104-54,.1uF,Keyboard,.1uF,
C104-55,.1uF,Keyboard,.1uF,
C104-56,.1uF,Keyboard,.1uF,
C104-57,.1uF,Keyboard,.1uF,
C104-58,.1uF,Keyboard,.1uF,
C104-59,.1uF,Keyboard,.1uF,
C104-6,.1uF,Keyboard,.1uF,
C104-60,.1uF,Keyboard,.1uF,
C104-61,.1uF,Keyboard,.1uF,
C104-62,.1uF,Keyboard,.1uF,
C104-63,.1uF,Keyboard,.1uF,
C104-64,.1uF,Keyboard,.1uF,
C104-65,.1uF,Keyboard,.1uF,
C104-66,.1uF,Keyboard,.1uF,
C104-67,.1uF,Keyboard,.1uF,
C104-68,.1uF,Keyboard,.1uF,
C104-69,.1uF,Keyboard,.1uF,
C104-7,.1uF,Keyboard,.1uF,
C104-70,.1uF,Keyboard,.1uF,
C104-71,.1uF,Keyboard,.1uF,
